UF,BA
Cidade,JUAZEIRO
Nome Posto,JUAZEIRO
Latitude,-9.416666666666666
Longitude,-40.5
Codigo,940016
Qtd. Anos,104
Ano,Maxima
1911,8.5
1912,70
1913,84.2
1914,69.7
1916,108.8
1917,81.3
1918,66.6
1919,66
1920,57
1921,78.5
1922,65
1923,98.3
1924,199.5
1925,66.7
1926,79.8
1927,51.2
1928,68.4
1929,98.7
1930,46
1931,36.7
1932,40
1933,62.1
1934,53.5
1935,40.5
1936,38
1937,73.5
1938,43.5
1939,50
1940,65
1941,49.7
1942,100
1943,34
1944,97
1945,40.2
1946,51.1
1947,70.6
1948,34
1949,70.7
1950,51.3
1951,70.6
1952,51
1954,46
1955,43.2
1956,81
1957,96.1
1958,39
1959,54
1960,183.5
1961,68
1962,76.2
1963,40.8
1964,80
1965,54
1966,66.8
1967,49.3
1968,28.2
1969,64.2
1970,97
1971,59.8
1972,78.6
1973,50
1974,24
1975,104
1976,103.4
1979,46
1980,96
1981,92.3
1982,75
1983,31.2
1984,36
1985,46
1987,58
1988,49.4
1989,72.2
1990,32
1991,60
1992,63
1993,50.4
1994,93
1995,64.6
1996,40
1997,31
1998,30.2
1999,80.2
2000,42.2
2001,44
2002,44
2003,60.4
2004,92.4
2005,48
2006,65.6
2007,61.2
2008,96.8
2009,74.7
2010,70.6
2011,10.7
2012,35.2
2013,14.2
2014,72.5
2015,11.7
2016,63.3
2017,35
2018,8
2019,32.6
