UF,BA
Cidade,PIRITIBA
Nome Posto,FRANCA
Latitude,-11.553333333333335
Longitude,-40.6
Codigo,1140010
Qtd. Anos,54
Ano,Maxima
1965,70.2
1966,77.2
1967,70.7
1968,86.2
1969,83.2
1970,45
1971,21.3
1973,75.4
1974,68.5
1975,99.6
1976,52.4
1977,54.6
1978,61.6
1979,62
1980,108
1981,48.4
1982,36.2
1983,86
1984,52.5
1985,122
1986,37.8
1987,67.6
1988,103.2
1989,63.5
1990,21
1991,97
1992,72.6
1993,31.1
1994,82.7
1995,64.3
1996,60.4
1997,48.8
1998,53.4
1999,92.6
2000,76.6
2001,54.7
2002,63.2
2003,106.6
2004,152.8
2005,162.6
2006,123.2
2007,62.8
2008,58.2
2009,128.6
2010,116.4
2011,31.4
2012,25.6
2013,72.6
2014,62.8
2015,31.4
2016,122.4
2017,51.2
2018,80.2
2019,112.4
