UF,BA
Cidade,MUTUIPE
Nome Posto,MUTUIPE
Latitude,-13.225
Longitude,-39.50416666666667
Codigo,1339030
Qtd. Anos,56
Ano,Maxima
1964,28
1965,37
1966,49.2
1967,93.8
1968,94.6
1969,66.1
1970,74.2
1971,25.6
1972,45.5
1973,111.4
1974,52.8
1975,107.4
1976,46.2
1977,48.6
1978,105
1979,56.8
1980,79.3
1981,46.2
1982,31.8
1983,76.2
1984,35.5
1985,59.1
1986,25.9
1987,90
1988,86.5
1989,123.1
1990,73.2
1991,51
1992,83.6
1993,43.2
1994,56.6
1995,47.4
1996,60
1997,98
1998,103
1999,57.5
2000,577
2001,85.7
2002,102.1
2003,69.6
2004,57.7
2005,58.2
2006,58.5
2007,50.5
2008,59.3
2009,64
2010,59.2
2011,90.7
2012,49.3
2013,34.9
2014,91.5
2015,41
2016,414
2017,27.6
2018,88.2
2019,41.2
