UF,BA
Cidade,PRADO
Nome Posto,PRADO
Latitude,-17.35027777777778
Longitude,-39.22
Codigo,1739001
Qtd. Anos,65
Ano,Maxima
1954,75.4
1955,79.2
1956,106
1957,100.2
1958,68.2
1959,14
1960,83.8
1961,28.4
1962,62.3
1963,22.4
1964,22.3
1965,19.5
1966,70.8
1967,12.3
1969,65.4
1970,35.6
1971,44
1972,54.3
1973,45
1974,49.6
1975,47.6
1976,99
1977,23.2
1978,291.6
1979,90
1980,75.4
1981,88
1982,110.2
1983,83.2
1984,86.8
1985,88
1986,73.2
1987,70
1988,70.4
1989,93.6
1990,169
1991,95.9
1992,106.9
1993,58.2
1994,134
1995,98
1996,47.2
1997,180.4
1998,138.6
1999,138.8
2000,68.9
2001,93
2002,153
2003,99.5
2004,73.5
2005,123.3
2006,120
2007,45.4
2008,75.7
2009,96.3
2010,160.6
2011,43.2
2012,36.1
2013,73.3
2014,66.2
2015,54
2016,80.6
2017,80.4
2018,130.6
2019,58.2
