UF,BA
Cidade,FLORESTA AZUL
Nome Posto,FLORESTA AZUL
Latitude,-14.859722222222222
Longitude,-39.65833333333333
Codigo,1439002
Qtd. Anos,51
Ano,Maxima
1969,89
1970,84
1971,60.2
1972,35.8
1973,77.2
1974,91.8
1975,59
1976,40.1
1977,38.4
1978,66
1979,51
1980,91.1
1981,90.1
1982,46
1983,43.7
1984,44.3
1985,83.8
1986,29.9
1987,70.6
1988,90.2
1989,57.2
1990,54.8
1991,60
1992,65.4
1993,43
1994,40
1995,49.7
1996,62.8
1997,68.1
1998,103.7
1999,78.6
2000,72.4
2001,49.2
2002,91.3
2003,25.7
2004,53.3
2005,54.2
2006,46.5
2007,71.3
2008,55.9
2009,42.3
2010,54.9
2011,50
2012,40.3
2013,61.3
2014,52.1
2015,43.3
2016,35.3
2017,52.7
2018,114.5
2019,38.9
