UF,BA
Cidade,ITAPICURU
Nome Posto,ITAPICURU
Latitude,-11.3
Longitude,-38.21666666666667
Codigo,1138006
Qtd. Anos,48
Ano,Maxima
1942,51.3
1943,40.1
1944,132.5
1945,43.7
1946,30.2
1947,62
1948,77.8
1949,139.7
1950,95
1951,60.2
1952,49.6
1953,71
1954,64.4
1955,17
1956,50
1957,63.2
1958,52
1959,17.8
1960,53
1961,20
1962,40.6
1963,37.2
1964,75.8
1965,26.2
1966,100.5
1967,66.1
1968,100.3
1969,79.4
1970,64.1
1971,55.6
1972,62.1
1973,47
1974,49.2
1975,42
1976,55
1977,36.2
1978,63.2
1979,22.9
1980,100.2
1981,65.5
1982,78.4
1983,37.3
1984,44.2
1985,60.4
1986,40
1988,25
1990,6.3
1991,15.2
