UF,BA
Cidade,ITAETE
Nome Posto,FAZENDA IGUACU
Latitude,-12.934722222222222
Longitude,-41.06583333333333
Codigo,1241001
Qtd. Anos,51
Ano,Maxima
1969,36
1970,110
1971,52.3
1972,132.4
1973,80.6
1974,63.4
1975,105.4
1976,63.2
1977,53
1978,105.4
1979,105.4
1980,63.4
1981,105.4
1982,40.2
1983,63.4
1984,54.6
1985,99
1986,47
1987,44.4
1988,73
1989,66.2
1990,66.2
1991,86.2
1992,196.2
1993,54.7
1994,53
1995,85.2
1996,56.2
1997,56.2
1998,77.5
1999,65.7
2000,90.4
2001,110.2
2002,62.1
2003,117.9
2004,80
2005,95.1
2006,95.1
2007,144
2008,74.3
2009,75.2
2010,65.5
2011,99.5
2012,62.5
2013,105.7
2014,89.5
2015,48.7
2016,50.2
2017,117.3
2018,110
2019,61.9
