UF,BA
Cidade,PINDAI
Nome Posto,GUIRAPA (UMBURANAS)
Latitude,-14.4
Longitude,-42.63333333333333
Codigo,1442010
Qtd. Anos,60
Ano,Maxima
1939,50.9
1940,99.1
1941,90.2
1942,68.5
1943,59
1944,59
1945,65
1946,45
1947,80
1948,77
1949,74.5
1950,52.5
1951,92.6
1952,78
1953,85.4
1954,142.9
1955,40
1956,40.6
1957,95
1958,60
1959,67.1
1960,102.3
1961,56.6
1962,59.2
1963,79
1964,80.4
1965,53.4
1966,76.2
1967,98
1968,122.3
1969,54.1
1970,24.8
1971,31
1972,48.2
1973,51.3
1974,75
1975,103.3
1976,63.6
1977,78.6
1978,67.8
1979,74.2
1980,76.2
1981,66.4
1982,86.8
1983,76.6
1984,105
1985,80.2
1986,39.4
1987,72.4
1988,62.6
1989,106.4
1990,62.6
1991,90
1994,108.8
1996,45
1997,69
1998,49
1999,62.6
2000,78.4
2001,36.4
