UF,BA
Cidade,REMANSO
Nome Posto,REMANSO
Latitude,-9.683333333333334
Longitude,-42.06666666666667
Codigo,942016
Qtd. Anos,81
Ano,Maxima
1911,21.5
1912,68
1913,74.4
1914,66.2
1915,49.6
1916,62.4
1917,48
1918,62
1919,20.6
1920,45.4
1921,61.2
1922,48
1923,58
1924,60.2
1925,70.2
1926,61.6
1927,57.1
1928,66
1929,67
1930,65.2
1931,39.7
1932,80
1933,62.3
1934,61.5
1935,78
1936,121.1
1937,60.1
1938,39.5
1939,60.7
1940,72.4
1941,66.6
1942,74.5
1943,119.2
1944,58.5
1945,53.4
1946,69
1947,68
1948,115
1949,128.3
1950,36.1
1951,68
1952,62.2
1953,97
1954,45
1955,59.5
1956,90
1957,60
1958,65
1959,83
1960,119.4
1961,23
1962,100
1963,140
1964,62.1
1965,51.2
1966,76
1967,116.5
1968,115
1969,58.2
1970,77.2
1971,70.7
1972,68.2
1973,84
1974,66.2
1975,76.2
1976,75.1
1977,79.1
1978,69.2
1979,78.3
1980,91
1981,112.3
1982,56.6
1983,50
1984,104.2
1985,113.8
1986,76
1987,60
1988,91.2
1989,80.5
1990,62.4
1991,101.2
