UF,BA
Cidade,MIRANGABA
Nome Posto,MIRANGABA (RIACHUELO)
Latitude,-10.953888888888889
Longitude,-40.57527777777778
Codigo,1040006
Qtd. Anos,38
Ano,Maxima
1959,30.1
1960,70.1
1961,60
1962,97.2
1963,103.5
1964,187
1965,88.4
1966,152.5
1967,53.5
1968,75.4
1969,94.7
1970,65.2
1971,71.7
1972,110.2
1973,125.3
1974,78.9
1975,99.2
1976,86.2
1977,130.1
1978,81.3
1979,60.2
1980,74.2
1981,76.2
1982,94.1
1983,90.6
1984,62.1
1985,71.2
1986,85.2
1987,60.1
1989,92.3
1990,58.2
1991,38.2
1993,81.5
1994,122.5
1997,33.5
1998,28.5
1999,100
2000,63.5
