UF,BA
Cidade,SANTA MARIA DA VITORIA
Nome Posto,MOCAMBO
Latitude,-13.277777777777779
Longitude,-44.55888888888889
Codigo,1344002
Qtd. Anos,72
Ano,Maxima
1945,67
1946,63.6
1947,91.6
1948,49.3
1949,28.2
1950,91
1951,42
1952,72
1953,27
1954,35
1955,35
1956,56
1957,84.3
1958,91
1959,49
1960,56
1961,14.5
1962,49
1963,17.5
1964,7.5
1965,27.6
1966,7
1967,4
1968,4.5
1969,30
1970,45
1971,60
1972,62.2
1973,75.6
1977,108
1978,117.4
1979,78
1980,75
1981,78
1982,78.4
1983,76
1984,55.4
1985,70.6
1986,57
1987,84.4
1988,96.7
1989,68.8
1990,58
1991,70
1992,60.6
1993,55.8
1994,63
1995,78.3
1996,70.2
1997,101
1998,112.8
1999,142.7
2000,61.2
2001,78
2002,49.9
2003,81.5
2004,134.2
2005,78.5
2006,81
2007,59.4
2008,128.4
2009,89
2010,72.3
2011,86.6
2012,73.6
2013,95
2014,43.8
2015,58.4
2016,74.6
2017,47.3
2018,52.9
2019,45.4
