UF,BA
Cidade,UTINGA
Nome Posto,BONITO (IBIAPORA)
Latitude,-11.965555555555556
Longitude,-41.26861111111111
Codigo,1141012
Qtd. Anos,58
Ano,Maxima
1933,91.5
1934,93
1935,76.2
1936,105.3
1937,144.2
1938,65.4
1939,66.2
1940,66.2
1941,65
1942,78.3
1943,65.3
1944,39.3
1945,39.2
1946,48.3
1947,60.2
1948,48.2
1949,62.2
1950,36.2
1951,48.2
1952,54.2
1953,124.3
1954,70.2
1955,75
1956,66.3
1957,56.2
1958,56.4
1959,35.3
1960,35.5
1961,63.1
1962,54
1963,97
1964,90
1965,73.8
1966,60
1967,109.8
1968,60
1969,73.4
1970,51.4
1971,32.9
1972,55.4
1973,38.6
1974,63.1
1975,54.7
1976,99.4
1977,71.2
1978,41.3
1979,18.6
1980,26.3
1981,25.4
1982,37.8
1983,24.2
1984,26.4
1985,67.6
1986,43.8
1987,29.8
1988,86.8
1989,43.8
1990,18.8
