UF,ES
Cidade,GUACUI
Nome Posto,GUACUI
Latitude,-20.77361111111111
Longitude,-41.681666666666665
Codigo,2041001
Qtd. Anos,82
Ano,Maxima
1939,45
1940,100
1941,98.6
1942,87.3
1943,88.2
1944,66.9
1945,125
1946,77
1947,62.6
1948,50.7
1949,50.6
1950,62.1
1951,73
1952,297.2
1953,78.8
1954,65.8
1955,109.6
1956,67.2
1957,100.8
1958,62
1959,73.4
1960,73.8
1961,75.4
1962,87
1963,76.1
1964,74
1965,55.2
1966,79
1967,73
1968,93.2
1969,100.1
1970,89.1
1971,68.3
1972,68.4
1973,70
1974,128
1975,91
1976,49
1977,122
1978,92
1979,80
1980,120
1981,64.1
1982,116.6
1983,130
1984,87.8
1985,112
1986,64.5
1987,103
1988,70.3
1989,76
1990,61.4
1991,101
1992,47.6
1993,85.9
1994,65.7
1995,64.3
1996,68.5
1997,70.8
1998,102.6
1999,109.2
2000,77.6
2001,76.3
2002,95.6
2003,96.7
2004,87.6
2005,117.2
2006,96.2
2007,74.2
2008,98.7
2009,89.5
2010,71.3
2011,112.4
2012,78.4
2013,98.7
2014,109.3
2015,66.8
2016,107.4
2017,57.6
2018,98.7
2019,72.3
2020,72.6
