UF,ES
Cidade,ICONHA
Nome Posto,DUAS BARRAS (DNOS)
Latitude,-20.728055555555553
Longitude,-40.8825
Codigo,2040017
Qtd. Anos,63
Ano,Maxima
1957,68
1958,50
1959,109
1960,113
1961,66.2
1962,81
1963,50.2
1964,144
1965,104
1966,147
1967,140.9
1968,133
1969,98.1
1970,106.6
1971,104.8
1972,132.5
1973,84.3
1974,93.3
1975,121.3
1976,101.6
1977,95
1978,79.3
1979,101
1980,147.4
1981,61.2
1982,227.4
1983,112
1984,120.4
1985,73.4
1986,73
1987,149
1988,88
1989,166
1990,54
1991,88
1992,141
1993,75
1994,298
1995,94
1996,78
1997,113
1998,93
1999,88.3
2000,87.3
2001,58.5
2002,149.3
2003,120
2004,53.2
2005,87.1
2006,94.8
2007,100
2008,120
2009,165
2010,93
2011,71.9
2012,120.5
2013,119.3
2014,102.3
2015,88.7
2016,151
2017,90.4
2018,95.8
2019,101.5
