UF,ES
Cidade,ARACRUZ
Nome Posto,SANTA CRUZ - LITORAL
Latitude,-19.95777777777778
Longitude,-40.154444444444444
Codigo,1940002
Qtd. Anos,73
Ano,Maxima
1947,49.6
1948,86.2
1949,64.8
1950,91.1
1951,58.8
1952,55.6
1953,65.1
1954,28.1
1955,26.3
1956,38.7
1957,50
1958,50.3
1959,50
1960,68
1961,50
1962,43.2
1963,20
1964,21
1965,50.3
1966,30.8
1967,35
1968,32
1969,41.4
1970,90.2
1971,113
1972,71.4
1973,60
1974,121
1975,88
1976,83.2
1977,81
1978,76.3
1979,120.8
1980,158
1981,75
1982,75
1983,115
1984,80
1985,100
1986,58
1987,67.2
1988,50.5
1989,40.3
1990,70.1
1991,42
1992,131
1993,40
1994,35.4
1995,28.1
1996,105
1997,75
1998,74.8
1999,70.3
2000,119.2
2001,85.5
2002,64.9
2003,36.9
2004,154.3
2005,206.4
2006,93.7
2007,36.8
2008,117.3
2009,151.4
2010,85.1
2011,114.9
2012,68.5
2013,117.9
2014,225.5
2015,80.3
2016,48.6
2017,52.7
2018,81.3
2019,145
