UF,ES
Cidade,ECOPORANGA
Nome Posto,FAZENDA SAO MATEUS
Latitude,-18.122222222222224
Longitude,-40.88583333333333
Codigo,1840009
Qtd. Anos,50
Ano,Maxima
1966,83
1970,90
1971,60
1972,60
1973,58.6
1974,71
1975,102.7
1976,77
1977,80
1978,132
1979,129
1980,58
1981,64
1982,48
1983,39
1984,80
1985,106.2
1986,70.8
1987,66.5
1988,75
1989,110
1990,90
1991,90
1992,77.6
1993,80
1994,40
1996,53.3
1997,122
1998,93
1999,97
2000,86.6
2001,112.8
2002,85.5
2003,103.3
2004,82.3
2005,105.6
2006,83.1
2007,99.5
2008,53.9
2009,105.3
2010,109.4
2011,48.4
2012,84.5
2013,109.5
2014,64.1
2015,45.7
2016,107.9
2017,51.1
2018,132.1
2019,74.4
