UF,ES
Cidade,CONCEICAO DA BARRA
Nome Posto,CONCEICAO DA BARRA
Latitude,-18.56222222222222
Longitude,-39.74722222222222
Codigo,1839001
Qtd. Anos,90
Ano,Maxima
1930,71
1931,66.4
1932,123.1
1933,108.9
1934,79.2
1935,119.2
1936,98.6
1937,99.3
1938,69.2
1939,86.5
1940,71.2
1941,78
1942,78.9
1943,87
1944,65.8
1945,83.4
1946,106.4
1947,70
1948,93.8
1949,66.2
1950,64.5
1951,68.3
1952,76.8
1953,119.8
1954,66
1955,73.6
1956,114.2
1957,75.2
1958,68.8
1959,59.4
1960,175.4
1961,52.7
1962,122.4
1963,91.4
1964,61.2
1965,82.4
1966,131.6
1967,67.2
1968,121.2
1969,138.4
1970,145.6
1971,160.6
1972,66.8
1973,76.6
1974,123
1975,100.2
1976,47.2
1977,98
1978,86.6
1979,41.4
1980,160
1981,100
1982,60
1983,60
1984,90
1985,90
1986,100
1987,10
1988,134
1989,43.6
1990,73.8
1991,95.3
1992,90.3
1993,67.5
1994,72.2
1995,64
1996,106
1997,64
1998,98.3
1999,153
2000,130
2001,193.8
2002,79
2003,79
2004,68
2005,58
2006,68.2
2007,138.2
2008,117.6
2009,116.3
2010,103.4
2011,82.5
2012,103.5
2013,108.8
2014,123.4
2015,82
2016,104.2
2017,104.8
2018,75.4
2019,144.2
