UF,ES
Cidade,ANCHIETA
Nome Posto,ANCHIETA (DNOS)
Latitude,-20.803611111111113
Longitude,-40.65555555555555
Codigo,2040009
Qtd. Anos,72
Ano,Maxima
1948,134
1949,70
1950,131.2
1951,63.2
1952,60.2
1953,78
1954,107.4
1955,72
1956,74.4
1957,100.8
1958,41
1959,91.6
1960,112.5
1961,105.8
1962,83.2
1963,50.2
1964,85
1965,50.2
1966,30.2
1967,85
1968,125
1969,76.3
1970,44.4
1971,132.4
1972,95
1973,80
1974,54.4
1975,109.3
1976,92.6
1977,82.4
1978,69
1979,103
1980,61
1981,82
1982,137
1983,123
1984,101.4
1985,50
1986,52
1987,161
1988,39.4
1989,115
1990,75
1991,100
1992,66
1993,80
1994,195
1995,25
1996,110
1997,64.7
1998,86.7
1999,75.3
2000,68.4
2001,65.6
2002,86.7
2003,107.8
2004,88.8
2005,81.1
2006,80.5
2007,99.3
2008,89
2009,68.2
2010,64.9
2011,66
2012,148
2013,134.7
2014,100
2015,39.7
2016,100.8
2017,105.2
2018,93
2019,86.8
