UF,ES
Cidade,MUNIZ FREIRE
Nome Posto,USINA FORTALEZA
Latitude,-20.37138888888889
Longitude,-41.40888888888889
Codigo,2041018
Qtd. Anos,64
Ano,Maxima
1956,60.2
1957,70.2
1958,73.4
1959,74
1960,37
1961,68
1962,121
1963,90.2
1964,57
1965,77.4
1966,74.6
1967,88.8
1968,91
1969,100.5
1970,64.4
1971,102.5
1972,71.2
1973,80.4
1974,61.4
1975,69.4
1976,84.4
1977,68
1978,84.1
1979,94.4
1980,116
1981,103.6
1982,127.4
1983,90.1
1984,63.4
1985,67.9
1986,59
1987,67.6
1988,80.8
1989,72.4
1990,72.2
1991,175.2
1992,176.2
1993,82.2
1994,54.3
1995,47.7
1996,76.2
1997,98.8
1998,52.6
1999,78.3
2000,94
2001,84.6
2002,64.6
2003,55.2
2004,110.8
2005,83.2
2006,74.1
2007,67.6
2008,96.6
2009,100.4
2010,73.1
2011,66.2
2012,72.6
2013,68
2014,77
2015,97.5
2016,94.2
2017,82.8
2018,74.2
2019,35
