UF,ES
Cidade,ARACRUZ
Nome Posto,ARACRUZ
Latitude,-19.83
Longitude,-40.27222222222222
Codigo,1940021
Qtd. Anos,50
Ano,Maxima
1970,50.8
1971,55.8
1972,63.4
1973,48
1974,100
1975,45
1976,60.6
1977,60.1
1978,71
1979,106
1980,183.1
1981,59.1
1982,69
1983,87.6
1984,117.6
1985,96.4
1986,50
1987,71
1988,131
1989,93.1
1990,86.6
1991,79.2
1992,104.7
1993,65.9
1994,78.5
1995,105.8
1996,108
1997,59.4
1998,69.2
1999,78.6
2000,81.3
2001,70.6
2002,113.6
2003,64.7
2004,152.7
2005,75.7
2006,111.7
2007,72.5
2008,90.7
2009,99.7
2010,168.4
2011,75.7
2012,119.3
2013,172.3
2014,187.6
2015,40.9
2016,82.3
2017,63.6
2018,136.4
2019,84.6
