UF,ES
Cidade,SANTA MARIA DE JETIBA
Nome Posto,SANTA MARIA DO JETIBA
Latitude,-20.028055555555554
Longitude,-40.744166666666665
Codigo,2040007
Qtd. Anos,73
Ano,Maxima
1947,102.6
1948,137.5
1949,250
1950,100
1951,52
1952,86
1953,88
1954,50.8
1955,53.6
1956,124
1957,81.3
1958,53.4
1959,66.2
1960,100.3
1961,128
1962,80.4
1963,36.9
1964,76.9
1965,111
1966,56
1967,52.2
1968,44.6
1969,60.8
1970,88.5
1971,36.3
1972,81
1973,82.1
1974,74
1975,100
1976,96
1977,64.4
1978,47
1979,85.5
1980,106.1
1981,53.4
1982,55.2
1983,73
1984,69.2
1985,122
1986,48.2
1987,95
1988,55.2
1989,65.3
1990,51
1991,85
1992,62.2
1993,104.3
1994,49.5
1995,69.8
1996,88.3
1997,96.4
1998,55.1
1999,80.2
2000,123.2
2001,109.6
2002,49.6
2003,86
2004,72.4
2005,103.6
2006,75.4
2007,69
2008,93.7
2009,87.6
2010,188
2011,55.1
2012,80.5
2013,112.9
2014,72
2015,74
2016,62.6
2017,107
2018,72.3
2019,63.9
