UF,ES
Cidade,SAO MATEUS
Nome Posto,SAO JOAO DA CACHOEIRA GRANDE
Latitude,-18.564722222222223
Longitude,-40.336666666666666
Codigo,1840020
Qtd. Anos,39
Ano,Maxima
1981,75.7
1982,122.6
1983,69.2
1984,64.2
1985,69
1986,83.2
1987,54
1988,122
1989,75
1990,69.2
1991,76.5
1992,159.5
1993,49.5
1994,91.6
1995,56.7
1996,80.5
1997,71.4
1998,81
1999,66.7
2000,83.5
2001,186.9
2002,104.9
2003,102.6
2004,97.2
2005,157.6
2006,137.1
2007,117.5
2008,54.6
2009,68.6
2010,87
2011,61.1
2012,71.5
2013,58.5
2014,100
2015,84.2
2016,73
2017,57.6
2018,112
2019,67.4
