UF,ES
Cidade,DOMINGOS MARTINS
Nome Posto,MARECHAL FLORIANO (DNOS)
Latitude,-20.411944444444444
Longitude,-40.68222222222222
Codigo,2040012
Qtd. Anos,71
Ano,Maxima
1949,70
1950,90.2
1951,65
1952,83.6
1953,85.2
1954,105.8
1955,50.8
1956,86.2
1957,78.2
1958,91
1959,75.1
1960,120
1961,60
1962,125
1963,75
1964,75
1965,67
1966,50
1967,62
1968,68
1969,93
1970,75
1971,108
1972,53
1973,72
1974,95
1975,75
1976,66
1977,70
1978,68
1979,75
1980,77
1981,91
1982,70.4
1983,63
1984,72
1985,91
1986,77
1987,145.1
1988,65
1989,50
1990,90
1991,97
1992,70
1993,82
1994,139
1995,55
1996,118
1997,105
1998,60
1999,85
2000,150
2001,80
2002,74
2003,91.8
2004,65.1
2005,101.7
2006,66.8
2007,76.3
2008,75.7
2009,137.2
2010,96.1
2011,110.7
2012,111.7
2013,90.5
2014,78.3
2015,46.8
2016,95.3
2017,99.5
2018,82.4
2019,121.4
