UF,ES
Cidade,MUNIZ FREIRE
Nome Posto,ITAICI
Latitude,-20.528333333333332
Longitude,-41.51138888888889
Codigo,2041019
Qtd. Anos,59
Ano,Maxima
1961,112.4
1962,69.3
1963,76.2
1964,103
1965,65.2
1966,87.8
1967,67.6
1968,90.8
1969,120.4
1970,57.6
1971,74.8
1972,51.6
1973,70.6
1974,93
1975,87.4
1976,73.8
1977,75.8
1978,56.8
1979,75
1980,71.4
1981,86.8
1982,93.8
1983,58
1984,80.4
1985,70.6
1986,75.8
1987,92.6
1988,102.2
1989,65.2
1990,78.2
1991,113.2
1992,47.7
1993,114
1994,71
1995,119.8
1996,202.4
1997,88
1998,64.8
1999,70.1
2000,58.2
2001,53.7
2002,65.9
2003,53.6
2004,69
2005,133.5
2006,123.3
2007,85.1
2008,85.1
2009,75.1
2010,77
2011,84.1
2012,74.8
2013,122.8
2014,128.3
2015,90.7
2016,109.4
2017,86.7
2018,88.8
2019,96.2
