UF,ES
Cidade,AFONSO CLAUDIO
Nome Posto,AFONSO CLAUDIO - MONTANTE
Latitude,-20.078611111111112
Longitude,-41.12138888888889
Codigo,2041023
Qtd. Anos,53
Ano,Maxima
1967,62.8
1968,112.2
1969,56.1
1970,48.4
1971,54.2
1972,51
1973,87
1974,65.6
1975,79.8
1976,108.4
1977,34.6
1978,68.8
1979,100.8
1980,100.6
1981,75
1982,51.3
1983,58
1984,100.4
1985,61.2
1986,63.1
1987,76
1988,52
1989,100
1990,100
1991,125
1992,100.4
1993,50.8
1994,125.4
1995,50
1996,92
1997,123.9
1998,77.1
1999,114.9
2000,134.8
2001,75.5
2002,67.8
2003,73.7
2004,85.7
2005,103.3
2006,45.3
2007,68
2008,47.5
2009,153
2010,92.6
2011,81
2012,81
2013,91.1
2014,74
2015,64.1
2016,91
2017,141
2018,78
2019,85
