UF,ES
Cidade,PANCAS
Nome Posto,ALTO RIO NOVO
Latitude,-19.059166666666666
Longitude,-41.027499999999996
Codigo,1941012
Qtd. Anos,50
Ano,Maxima
1970,45.4
1971,76.6
1972,90.6
1973,62.4
1974,77.6
1975,52.2
1976,72.8
1977,42
1978,34
1979,84
1980,65.8
1981,75.4
1982,93.6
1983,84.2
1984,63.4
1985,62.2
1986,56.2
1987,126.2
1988,92.8
1989,8.3
1990,70.2
1991,8.2
1992,46
1993,80
1994,59.4
1995,98.2
1996,60.4
1997,54.8
1998,51.7
1999,53.5
2000,70
2001,64
2002,82
2003,75.3
2004,117.7
2005,66.9
2006,110.4
2007,43.2
2008,71.4
2009,102.7
2010,55.1
2011,73.5
2012,59.2
2013,79
2014,71.3
2015,63.5
2016,65
2017,50.5
2018,88.1
2019,48.6
