UF,ES
Cidade,AGUA DOCE DO NORTE
Nome Posto,AGUA DOCE
Latitude,-18.548055555555557
Longitude,-40.97638888888889
Codigo,1840007
Qtd. Anos,61
Ano,Maxima
1959,25
1960,68.2
1961,55
1962,50.2
1963,34.6
1964,660.6
1965,75.6
1966,60.5
1967,71.4
1968,100
1969,87
1970,75.8
1971,95.8
1972,54.1
1973,95.2
1974,64.2
1975,46
1976,70
1977,59.6
1978,59
1979,70
1980,84
1981,94
1982,70
1983,60.2
1984,55.4
1985,122
1986,56.1
1987,93
1988,110
1989,56.1
1990,54.2
1991,86.4
1992,85
1993,100.8
1994,55.1
1995,125
1996,47.6
1997,50
1998,57.6
1999,85
2000,57.4
2001,121
2002,75
2003,75.2
2004,146.4
2005,68.3
2006,91.3
2007,85
2008,224
2009,136
2010,70.9
2011,97
2012,77.9
2013,113.5
2014,50
2015,37.9
2016,117
2017,98
2018,65.5
2019,60.9
