UF,ES
Cidade,SANTA LEOPOLDINA
Nome Posto,GARRAFAO (DNOS)
Latitude,-20.143333333333334
Longitude,-40.97527777777778
Codigo,2040008
Qtd. Anos,73
Ano,Maxima
1947,209.4
1948,116.3
1949,112.2
1950,71.3
1951,71.1
1952,91.6
1953,95
1954,50
1955,28
1956,30
1957,9.3
1958,51
1959,78
1960,79
1961,90
1962,54
1963,31
1964,68
1965,78
1966,56
1967,53
1968,67.8
1969,88.4
1970,85.4
1971,59
1972,85.4
1973,77.6
1974,69.4
1975,75
1976,81.8
1977,66.7
1978,69.4
1979,86.6
1980,77.4
1981,55.2
1982,77.1
1983,68
1984,95.1
1985,60.4
1986,81.4
1987,100.2
1988,44.2
1989,76
1990,60.6
1991,71.2
1992,50
1993,60.1
1994,100.5
1995,90
1996,82.1
1997,75
1998,95.1
1999,74
2000,107.6
2001,68.4
2002,98.6
2003,80.3
2004,68.7
2005,72.3
2006,70.7
2007,46.5
2008,69.3
2009,120.3
2010,119.5
2011,74.8
2012,57.2
2013,89.8
2014,70.1
2015,73.2
2016,81.2
2017,101.2
2018,72.6
2019,92
