UF,ES
Cidade,ECOPORANGA
Nome Posto,PATRIMONIO SANTA LUZIA DO NORTE
Latitude,-18.205555555555556
Longitude,-40.60333333333333
Codigo,1840015
Qtd. Anos,50
Ano,Maxima
1970,50
1971,140
1972,71.4
1973,70.2
1974,65.4
1975,156.2
1976,52.6
1977,110.6
1978,78.8
1979,66
1980,120.8
1981,150.8
1982,128
1983,100
1984,166.8
1985,84.8
1986,53.4
1987,86.4
1988,79.2
1989,75
1990,91.4
1991,112.6
1992,72.6
1993,91.2
1994,56.6
1995,69.2
1996,89.8
1997,132.2
1998,56.8
1999,70.6
2000,102.6
2001,72.6
2002,77
2003,68.8
2004,82.2
2005,112.3
2006,121.9
2007,55.7
2008,150.9
2009,137.1
2010,62.9
2011,62.1
2012,90.1
2013,92.3
2014,103.2
2015,71.5
2016,63
2017,60.7
2018,68.3
2019,56.6
