UF,ES
Cidade,MIMOSO DO SUL
Nome Posto,MIMOSO DO SUL
Latitude,-21.064722222222223
Longitude,-41.362500000000004
Codigo,2141015
Qtd. Anos,57
Ano,Maxima
1964,63.6
1965,94
1966,72
1967,56.6
1968,109.2
1969,175.8
1970,58.6
1971,93.1
1972,66
1973,187
1974,102
1975,93
1976,83
1977,95
1978,87.6
1979,86.3
1980,56
1981,87
1982,134.2
1983,75.4
1984,52
1985,101
1986,58.8
1987,101.9
1988,66.4
1989,65.7
1990,71.5
1991,78.2
1992,99.3
1993,152.8
1994,188.3
1995,77.3
1996,60
1997,66.6
1998,64.5
1999,50.2
2000,55.6
2001,72.9
2002,118.7
2003,65.7
2004,71.7
2005,94.1
2006,124.7
2007,64.9
2008,95.8
2009,96.3
2010,110.8
2011,74.5
2012,83.2
2013,135.9
2014,66.5
2015,53.2
2016,98.5
2017,146
2018,83.1
2019,76.4
2020,77.4
