UF,ES
Cidade,AGUIA BRANCA
Nome Posto,AGUIA BRANCA
Latitude,-18.985555555555557
Longitude,-40.74611111111111
Codigo,1840000
Qtd. Anos,51
Ano,Maxima
1969,75.1
1970,122.2
1971,94
1972,52.2
1973,75.2
1974,82.2
1975,89.1
1976,139.2
1977,100.2
1978,110.2
1979,106.4
1980,117.4
1981,99.7
1982,94
1983,214
1984,75
1985,86
1986,46
1987,73.2
1988,109
1989,123
1990,46
1991,83
1992,87
1993,75
1994,62.6
1995,61
1996,42
1997,78.1
1998,84.4
1999,117.7
2000,106.1
2001,80.8
2002,123.5
2003,141
2004,142.2
2005,112.3
2006,65.3
2007,72.7
2008,74
2009,140
2010,87
2011,149.2
2012,78.5
2013,108
2014,87.2
2015,49.4
2016,58.5
2017,72.3
2018,88.5
2019,98.4
