UF,ES
Cidade,ALFREDO CHAVES
Nome Posto,VILA NOVA MARAVILHA
Latitude,-20.5875
Longitude,-40.94916666666666
Codigo,2040020
Qtd. Anos,56
Ano,Maxima
1964,52.6
1965,52.4
1966,50.6
1967,54.3
1968,41.2
1969,61.2
1970,59.2
1971,104.5
1972,58.1
1973,70
1974,37
1975,90
1976,40.1
1977,57.2
1978,90.1
1979,130
1980,60.1
1981,91
1982,70.1
1983,115.3
1984,90.1
1985,90
1986,40
1987,40
1988,95
1989,81
1990,50.1
1991,65.7
1992,50.1
1993,51
1994,50
1995,51.1
1996,96.1
1997,80
1998,90
1999,59
2000,91.3
2001,88.1
2002,77.5
2003,98.9
2004,68.5
2005,111.8
2006,91
2007,97.5
2008,70.2
2009,106.6
2010,75.5
2011,76.7
2012,112.2
2013,90.7
2014,66.4
2015,49.6
2016,80.5
2017,105.8
2018,108.2
2019,58.5
