UF,ES
Cidade,ALEGRE
Nome Posto,IBITIRAMA
Latitude,-20.540555555555557
Longitude,-41.66555555555556
Codigo,2041016
Qtd. Anos,66
Ano,Maxima
1954,81.2
1955,58
1956,63.1
1957,80.8
1958,78
1959,28
1960,40.3
1961,97.3
1962,53.6
1963,50.6
1964,61.6
1965,51.4
1966,76.2
1967,119.2
1968,94.6
1969,111
1970,80.4
1971,94.6
1972,108.4
1973,70.4
1974,74.2
1975,70.4
1976,72.2
1977,95.6
1978,105.2
1979,77.4
1980,105.6
1981,188
1982,85.6
1983,55.8
1984,76.4
1985,83.6
1986,90.6
1987,86.4
1988,79.6
1989,105.6
1990,80.4
1991,100.4
1992,120.2
1993,121
1994,102.3
1995,83.2
1996,87.4
1997,96.2
1998,78.4
1999,64.2
2000,126.2
2001,64.2
2002,151.6
2003,60.3
2004,118.4
2005,199
2006,90.1
2007,92.3
2008,91.4
2009,83.1
2010,81.8
2011,69.5
2012,96.1
2013,86.4
2014,79.5
2015,113
2016,87
2017,74.2
2018,77.7
2019,82.1
