UF,ES
Cidade,LINHARES
Nome Posto,PONTE NOVA (BR-101)
Latitude,-18.981666666666666
Longitude,-39.99333333333333
Codigo,1840008
Qtd. Anos,47
Ano,Maxima
1972,44.8
1973,66.1
1974,135.8
1975,64
1976,79.6
1977,80.9
1978,80.6
1979,310.2
1980,75
1981,80.7
1982,122.2
1983,75.2
1984,75.8
1985,79.4
1986,37.1
1987,30.4
1988,80.8
1989,80.6
1990,77.4
1991,78.8
1992,88.9
1993,92.2
1994,70.6
1995,80.2
1996,63.4
1997,93
1998,56.9
1999,93.4
2000,113.6
2001,105.3
2002,78.2
2003,120.6
2004,96.4
2005,48.5
2006,160.8
2007,120.4
2008,100.1
2009,75.6
2010,56.8
2011,110
2012,84
2013,80
2014,105
2015,69.9
2016,81.9
2017,90
2018,96
