UF,ES
Cidade,VITORIA
Nome Posto,VITORIA
Latitude,-20.516666666666666
Longitude,-40.516666666666666
Codigo,2040035
Qtd. Anos,95
Ano,Maxima
1925,57.4
1926,74
1927,77.8
1928,125.7
1929,60.8
1930,79.6
1931,69.4
1932,85
1933,78.9
1934,69.8
1935,136.2
1936,118
1937,92.6
1938,67.7
1939,51.6
1940,147.7
1941,100.6
1942,70.8
1943,63.9
1944,69.3
1945,72.4
1946,63.2
1947,74.5
1948,129.8
1949,98.4
1950,97.4
1951,85.2
1952,64.5
1953,114.4
1954,71.2
1955,53
1956,103.6
1957,76.1
1958,105.4
1959,138.7
1960,129.6
1961,96.4
1962,44.5
1963,48.8
1964,46
1965,63.3
1966,45.8
1967,135.5
1968,23.7
1969,196.9
1970,100.2
1971,75.6
1972,48.6
1973,59.9
1974,84.6
1975,154
1976,78.8
1977,142.4
1978,84.7
1979,68.5
1980,134.7
1981,94.1
1982,90
1983,142.9
1984,103.5
1985,101.1
1986,141.6
1987,84.8
1988,87.2
1989,85.2
1990,119
1991,60.9
1992,167.6
1993,55.4
1994,92.1
1995,84.6
1996,95.7
1997,87.4
1998,85.9
1999,120.7
2000,130.4
2001,33.4
2002,79.4
2003,69.6
2004,182.2
2005,93.8
2006,115
2007,64.8
2008,105.6
2009,135.9
2010,109.4
2011,138.2
2012,114.8
2013,171.2
2014,141.4
2015,50.5
2016,55.4
2017,89.4
2018,130.2
2019,198.6
