UF,ES
Cidade,COLATINA
Nome Posto,NOVO BRASIL
Latitude,-19.2375
Longitude,-40.59138888888889
Codigo,1940013
Qtd. Anos,51
Ano,Maxima
1969,71.2
1970,63.2
1971,86.4
1972,76.6
1973,73.8
1974,54.4
1975,60.2
1976,113.4
1977,76.6
1978,58
1979,81
1980,131.4
1981,104
1982,90
1983,114
1984,71
1985,96
1986,35.8
1987,56.2
1988,72
1989,107
1990,62
1991,132
1992,65
1993,56.8
1994,63
1995,96
1996,61.3
1997,78.5
1998,84.7
1999,79.8
2000,95.4
2001,101.4
2002,56.7
2003,48.7
2004,117.3
2005,103.5
2006,52.2
2007,80.4
2008,91.5
2009,169.5
2010,82.4
2011,51.6
2012,72
2013,135.4
2014,60
2015,49
2016,126
2017,62
2018,115.5
2019,45
