UF,ES
Cidade,VILA VELHA
Nome Posto,PONTA DA FRUTA
Latitude,-20.515555555555554
Longitude,-40.36361111111111
Codigo,2040022
Qtd. Anos,50
Ano,Maxima
1970,68.4
1971,83.2
1972,67
1973,105
1974,88.4
1975,80
1976,57.2
1977,96.2
1978,74
1979,55
1980,75.2
1981,80
1982,68
1983,138
1984,112
1985,90
1986,77
1987,70.2
1988,72.4
1989,86.4
1990,90.4
1991,85
1992,56
1993,74.4
1994,104.8
1995,93.8
1996,60.4
1997,89
1998,52.4
1999,118
2000,105
2001,61.2
2002,53
2003,73.5
2004,80
2005,103.4
2006,82.1
2007,63.4
2008,90.9
2009,128.1
2010,102.7
2011,81.5
2012,96.3
2013,109.3
2014,50.7
2015,55.8
2016,78.8
2017,78.4
2018,99.7
2019,132.8
