UF,ES
Cidade,BARRA DE SAO FRANCISCO
Nome Posto,BARRA DE SAO FRANCISCO
Latitude,-18.761944444444445
Longitude,-40.89
Codigo,1840004
Qtd. Anos,73
Ano,Maxima
1947,130.6
1948,74.3
1949,83.8
1950,46.8
1951,83.6
1952,17.2
1953,47.8
1954,23.5
1955,35.2
1956,30.2
1957,36.4
1958,14.3
1959,153.5
1960,70.2
1961,133
1962,87.3
1963,42
1964,67
1965,74
1966,70.2
1967,39.8
1968,60.2
1969,59.8
1970,97.2
1971,74.4
1972,55.6
1973,77.2
1974,70.2
1975,48.6
1976,100.4
1977,55.6
1978,70.8
1979,109
1980,128
1981,64
1982,81.3
1983,96.5
1984,70.4
1985,105
1986,75.1
1987,42.4
1988,86.2
1989,51
1990,79
1991,70.4
1992,266
1993,95
1994,64
1995,75
1996,43
1997,54
1998,65
1999,74
2000,93.5
2001,92
2002,55
2003,70.4
2004,121
2005,82
2006,66
2007,90.3
2008,86.5
2009,100.8
2010,100
2011,140
2012,70
2013,96.9
2014,85.3
2015,41
2016,71.3
2017,82.7
2018,68
2019,70
