UF,ES
Cidade,BAIXO GUANDU
Nome Posto,BAIXO GUANDU
Latitude,-19.525277777777777
Longitude,-41.015277777777776
Codigo,1941003
Qtd. Anos,78
Ano,Maxima
1941,60.6
1942,59.2
1943,98
1944,89.4
1945,84
1946,59.8
1947,92.3
1948,57.4
1949,78.8
1950,33.8
1951,39.5
1952,77.8
1953,61
1954,53.4
1955,53.2
1956,64.7
1957,63
1958,91
1959,63
1960,52.8
1961,51.2
1962,96.2
1963,45.4
1964,63.3
1965,85
1966,56.8
1967,84.5
1968,68
1969,37.6
1970,49.8
1971,70.2
1972,42.1
1973,96
1974,59.2
1975,79
1976,78.3
1977,41.6
1978,59
1979,87.8
1980,136.6
1981,85.4
1982,63
1983,71.1
1984,90.2
1985,48.2
1986,62.5
1987,89.8
1988,80.6
1990,76.6
1991,52.5
1992,55.9
1993,57.9
1994,91.2
1995,71
1996,75.8
1997,66.3
1998,43.5
1999,55.6
2000,38.5
2001,42
2002,117.8
2003,43.2
2004,86.5
2005,65.2
2006,80.1
2007,77.9
2008,72.8
2009,100
2010,105.7
2011,52
2012,53.3
2013,133.3
2014,47.6
2015,47.3
2016,80.8
2017,69.3
2018,76.3
2019,80.6
