UF,ES
Cidade,LINHARES
Nome Posto,RIO BANANAL
Latitude,-19.274166666666666
Longitude,-40.32083333333334
Codigo,1940023
Qtd. Anos,50
Ano,Maxima
1970,81.6
1971,80.2
1972,83
1973,78.4
1974,96
1975,82
1976,125.8
1977,51.2
1978,121.6
1979,91
1980,122.4
1981,145
1982,209
1983,71.2
1984,100
1985,105
1986,49.4
1987,44.6
1988,125
1989,61
1990,53.8
1991,96
1992,80
1993,32
1994,89.6
1995,80.2
1996,69
1997,60
1998,33
1999,102
2000,96
2001,91.2
2002,45
2003,98.5
2004,150
2005,76.2
2006,75.3
2007,72.4
2008,74.9
2009,146
2010,77.3
2011,76.9
2012,51.8
2013,280.8
2014,105.7
2015,61.4
2016,92.7
2017,43.2
2018,68.8
2019,68
