UF,ES
Cidade,SANTA TERESA
Nome Posto,CALDEIRAO
Latitude,-19.955
Longitude,-40.74166666666667
Codigo,1940020
Qtd. Anos,50
Ano,Maxima
1970,56.2
1971,70.6
1972,69.2
1973,84.2
1974,90.2
1975,75.6
1976,108.6
1977,37.6
1978,111.8
1979,101.8
1980,127.2
1981,60.7
1982,50.4
1983,75.8
1984,84.4
1985,56.6
1986,54
1987,152.6
1988,50.6
1989,64.3
1990,79.4
1991,57.4
1992,67.6
1993,98.3
1994,91.8
1995,77
1996,99.4
1997,59.3
1998,68.9
1999,98.3
2000,158.1
2001,138.8
2002,61
2003,60.2
2004,88.5
2005,145.6
2006,143.6
2007,77
2008,74.1
2009,103.9
2010,133.9
2011,55.3
2012,98.2
2013,126
2014,61
2015,44.2
2016,82
2017,124.2
2018,70
2019,95
