UF,ES
Cidade,COLATINA
Nome Posto,COLATINA - CORPO DE BOMBEIROS
Latitude,-19.530833333333334
Longitude,-40.62305555555555
Codigo,1940006
Qtd. Anos,53
Ano,Maxima
1967,53.4
1968,53.2
1969,64.2
1970,84.6
1971,83.2
1972,57.8
1973,89.2
1974,61.2
1975,49.2
1976,66.2
1977,56.8
1978,89.2
1979,113
1980,98.2
1981,107.6
1982,65.2
1983,137.8
1984,57.2
1985,53.2
1986,34
1987,84.3
1988,79.2
1989,66.3
1990,79.9
1991,92.1
1992,107.2
1993,106.2
1994,107.5
1995,88.2
1996,92
1997,106.4
1998,69
1999,63.2
2000,90.2
2001,88.9
2002,60.3
2003,67.3
2004,62.1
2005,92.7
2006,90.8
2007,36.7
2008,93.5
2009,103
2010,100
2011,74.4
2012,66.4
2013,83.2
2014,92.3
2015,48.5
2016,94.5
2017,59.5
2018,56.6
2019,50
