UF,ES
Cidade,AFONSO CLAUDIO
Nome Posto,LARANJA DA TERRA
Latitude,-19.90111111111111
Longitude,-41.058055555555555
Codigo,1941008
Qtd. Anos,73
Ano,Maxima
1947,66
1948,77
1949,81
1950,70
1951,60
1952,80
1953,58
1954,56
1955,38
1956,85
1957,90
1958,31
1959,32
1960,49
1961,53.3
1962,75
1963,31
1964,100.1
1965,115.4
1966,52.6
1967,66.2
1968,61.4
1969,46.2
1970,91.2
1971,89.2
1972,80
1973,56.2
1974,68
1975,63
1976,118.2
1977,54.4
1978,92
1979,86
1980,45.2
1981,94.2
1982,112
1983,60.3
1984,83.3
1985,70.1
1986,60.2
1987,83.1
1988,92.2
1989,80.5
1990,85.2
1991,80.9
1992,64
1993,50
1994,47.8
1995,72.6
1996,67.5
1997,104.7
1998,202.2
1999,113.3
2000,81.4
2001,55.8
2002,81.2
2003,89.3
2004,109.8
2005,76.5
2006,76.1
2007,79.8
2008,58.9
2009,84.8
2010,99.5
2011,72.4
2012,95.8
2013,82.1
2014,75.6
2015,51.5
2016,75.2
2017,123.4
2018,62.1
2019,64.3
