UF,ES
Cidade,ICONHA
Nome Posto,ICONHA - MONTANTE
Latitude,-20.783611111111114
Longitude,-40.825833333333335
Codigo,2040005
Qtd. Anos,72
Ano,Maxima
1947,131
1948,118.4
1949,61
1950,180.2
1951,156
1952,144
1954,83
1955,56.2
1956,90.2
1957,129
1958,65.2
1959,112
1960,94.2
1961,65
1962,186
1963,82
1964,125
1965,90.2
1966,89.2
1967,152
1968,147
1969,105
1970,87
1971,150.2
1972,62.2
1973,134
1974,78.2
1975,113.2
1976,104.4
1977,115
1978,173.2
1979,100.4
1980,108
1981,82.4
1982,215
1983,158.6
1984,103.4
1985,73
1986,103
1987,148.6
1988,69
1989,70.2
1990,70.6
1991,97
1992,366
1993,68.4
1994,118.6
1995,76.4
1996,90
1997,153
1998,59
1999,116
2000,87.2
2001,65.6
2002,91.3
2003,139
2004,70.6
2005,138
2006,120
2007,149.3
2008,89
2009,82.7
2010,76.2
2011,52.8
2012,73
2013,176.5
2014,90
2015,152.6
2016,110
2017,121
2018,117
2019,121
