UF,ES
Cidade,NOVA VENECIA
Nome Posto,CEDROLANDIA
Latitude,-18.809722222222224
Longitude,-40.690555555555555
Codigo,1840010
Qtd. Anos,50
Ano,Maxima
1970,62.4
1971,66.6
1972,76.2
1973,63
1974,102.2
1975,76.4
1976,146.4
1977,75.2
1978,78.2
1979,76.6
1980,92.4
1981,65.8
1982,62.8
1983,105.6
1984,90.6
1985,59.4
1986,60.8
1987,201.8
1988,104.4
1989,42.8
1990,60.6
1991,87
1992,110.2
1993,101.7
1994,49.8
1995,138.5
1996,49.5
1997,82.4
1998,109
1999,81
2000,98.7
2001,102.8
2002,67.6
2003,84.4
2004,119.4
2005,49.7
2006,85.5
2007,99.2
2008,128.7
2009,160
2010,126.2
2011,93.9
2012,56.8
2013,124
2014,50.3
2015,53
2016,61.9
2017,46.1
2018,125.6
2019,62.4
