UF,ES
Cidade,IBIRACU
Nome Posto,CAVALINHO
Latitude,-19.692222222222224
Longitude,-40.39805555555556
Codigo,1940005
Qtd. Anos,72
Ano,Maxima
1948,109.4
1949,98.4
1950,65
1951,99
1952,88
1953,63.4
1954,76.2
1955,73.6
1956,108.6
1957,77.2
1958,86.8
1959,64
1960,171.2
1961,94
1962,73.8
1963,65
1964,86.6
1965,104.6
1966,64
1967,60.8
1968,110.8
1969,49.8
1970,127
1971,89
1972,96.9
1973,72.2
1974,66.4
1975,72.2
1976,92.4
1977,88
1978,109.6
1979,150.7
1980,141.4
1981,68.2
1982,80.2
1983,102.4
1984,154.2
1985,403.2
1986,45.8
1987,78.6
1988,141.5
1989,94.3
1990,95.8
1991,79.8
1992,87.8
1993,123.9
1994,96.8
1995,185.4
1996,109.4
1997,86.5
1998,67.3
1999,46.4
2000,87.8
2001,84.6
2002,61.7
2003,88
2004,84.2
2005,197.4
2006,88.3
2007,54.6
2008,96.5
2009,155.6
2010,108.9
2011,77.9
2012,92.4
2013,141.3
2014,98.4
2015,35
2016,102.1
2017,84.4
2018,98
2019,181.2
