UF,ES
Cidade,SANTA TERESA
Nome Posto,SAO JOAO DE PETROPOLIS
Latitude,-19.80527777777778
Longitude,-40.678888888888885
Codigo,1940001
Qtd. Anos,73
Ano,Maxima
1947,84.3
1948,86.1
1949,72.3
1950,76.7
1951,34.9
1952,96.4
1953,93.3
1954,42.1
1955,52.1
1956,137.6
1957,103.5
1958,90.8
1959,58.5
1960,96
1961,53.4
1962,62.1
1963,46.4
1964,56.3
1965,62
1966,116.2
1967,129.6
1968,86
1969,54.9
1970,43.9
1971,67
1972,60.8
1973,57.8
1974,137.2
1975,70.8
1976,88.2
1977,48.8
1978,55.8
1979,100.4
1980,158
1981,125.2
1982,50.5
1983,92.3
1984,133
1985,51
1986,60
1987,94
1988,46
1989,60
1990,70
1991,63.8
1992,51.6
1993,67
1994,108
1995,65.4
1996,81.2
1997,124.4
1998,67.2
1999,99.3
2000,143.6
2001,74.8
2002,73.2
2003,61
2004,105.5
2005,94
2006,103.6
2007,67.1
2008,74
2009,106.6
2010,121.3
2011,55.6
2012,64.8
2013,96.9
2014,69
2015,66.5
2016,67.7
2017,79.8
2018,102
2019,78.3
