UF,ES
Cidade,CACHOEIRO DO  ITAPEMIRIM
Nome Posto,BURARAMA
Latitude,-20.680555555555557
Longitude,-41.348333333333336
Codigo,2041021
Qtd. Anos,56
Ano,Maxima
1964,95
1965,52.4
1966,112.8
1967,78
1968,110
1969,129.8
1970,99.2
1971,196.2
1972,90
1973,68.8
1974,128.8
1975,79.4
1976,87
1977,96.6
1978,117.6
1979,92.2
1980,104.2
1981,90
1982,91.4
1983,96.2
1984,86.8
1985,128.4
1986,74.2
1987,118.2
1988,80.4
1989,97.2
1990,113.8
1991,110.6
1992,62.8
1993,78.2
1994,113.2
1995,116.2
1996,58.8
1997,153.2
1998,58.8
1999,48.5
2000,102.5
2001,68.6
2002,71.1
2003,125.9
2004,96.5
2005,89.4
2006,112.5
2007,83.2
2008,87.8
2009,122
2010,134.4
2011,123
2012,49.3
2013,174.4
2014,135.2
2015,57
2016,149
2017,63.6
2018,85
2019,92.1
