UF,ES
Cidade,DOMINGOS MARTINS
Nome Posto,SAO RAFAEL
Latitude,-20.29638888888889
Longitude,-40.93388888888889
Codigo,2040023
Qtd. Anos,50
Ano,Maxima
1970,58
1971,47
1972,85
1973,132
1974,60
1975,34
1976,50
1977,59.3
1978,37.2
1979,82
1980,60
1981,48
1982,71.3
1983,70
1984,80
1985,44.1
1986,80
1987,100.3
1988,53.5
1989,78.1
1990,77
1991,44
1992,25.7
1993,56.2
1994,74
1995,29.3
1996,34.7
1997,48.3
1998,60.3
1999,48.7
2000,68.3
2001,140
2002,52.3
2003,55.2
2004,71.1
2005,64.4
2006,76.1
2007,60
2008,79
2009,147.6
2010,104.3
2011,89
2012,62.1
2013,102.1
2014,77.6
2015,80.2
2016,89.7
2017,97.5
2018,71.2
2019,108.4
