UF,ES
Cidade,ATILIO VIVACQUA
Nome Posto,ATILIO VIVACQUA
Latitude,-20.912777777777777
Longitude,-41.19499999999999
Codigo,2041000
Qtd. Anos,76
Ano,Maxima
1944,49.2
1945,96
1946,58.4
1947,50.4
1948,54.6
1949,45.6
1950,58.6
1951,36.2
1952,61
1953,89.2
1954,67
1955,98
1956,95
1957,76
1958,68
1959,79
1960,76
1961,96
1962,71
1963,35
1964,62
1965,60.4
1966,58
1967,46.4
1968,47.4
1969,109
1970,50
1971,95
1972,58.4
1973,81
1974,98.5
1975,71.9
1976,86
1977,60.2
1978,75
1979,63.8
1980,65.9
1981,49.4
1982,140.8
1983,64
1984,124
1985,84
1986,76
1987,77
1988,112.7
1989,74.6
1990,82.5
1991,104.4
1992,62.4
1993,74.6
1994,160.4
1995,82.2
1996,86.8
1997,71.2
1998,63.5
1999,56.5
2000,65.7
2001,41.5
2002,135.9
2003,76
2004,61.1
2005,145.1
2006,91
2007,63.8
2008,79.3
2009,78.2
2010,82.1
2011,69.5
2012,59.4
2013,66.7
2014,72.9
2015,27.5
2016,76.6
2017,56
2018,105.4
2019,52.9
