UF,ES
Cidade,DOMINGOS MARTINS
Nome Posto,ARACE (FAZENDA MODELO)
Latitude,-20.366666666666667
Longitude,-41.06111111111111
Codigo,2041020
Qtd. Anos,57
Ano,Maxima
1963,75.5
1964,96.1
1965,66.8
1966,51.3
1967,88.6
1968,73.2
1969,71
1970,55.5
1971,42
1972,52
1973,70
1974,65.2
1975,51.4
1976,64
1977,62.3
1978,49.5
1979,106.5
1980,104
1981,74
1982,68.6
1983,106
1984,78.2
1985,82.2
1986,84
1987,103.4
1988,70.6
1989,85.6
1990,50.8
1991,73.4
1992,54
1993,102
1994,84
1995,76.4
1996,115.2
1997,83.6
1998,87
1999,82.8
2000,76.4
2001,76
2002,76.4
2003,73
2004,94.6
2005,90
2006,84.8
2007,58.6
2008,90
2009,188.2
2010,90.2
2011,71.5
2012,71
2013,88.4
2014,65.9
2015,57.1
2016,96.3
2017,76
2018,88.2
2019,68.9
