UF,ES
Cidade,CONCEICAO DO CASTELO
Nome Posto,CONCEICAO DO CASTELO (DNOS)
Latitude,-20.352222222222224
Longitude,-41.239444444444445
Codigo,2041011
Qtd. Anos,72
Ano,Maxima
1948,96.6
1949,64.9
1950,57.3
1951,98.1
1952,63.7
1953,65.6
1954,63.5
1955,29.5
1956,20.2
1957,19.8
1958,53.6
1959,118.2
1960,105.6
1961,75.2
1962,55
1963,57.4
1964,58.4
1965,167.2
1966,90.3
1967,147.2
1968,62.6
1969,106.2
1970,56.8
1971,70.4
1972,68.6
1973,143.6
1974,45.2
1975,46
1976,96.2
1977,50.8
1978,54.2
1979,28.3
1980,75.3
1981,75.1
1982,60.2
1983,100.3
1984,69
1985,86.3
1986,84
1987,77.3
1988,70.4
1989,79.3
1990,60.5
1991,70.3
1992,105.1
1993,106.9
1994,76
1995,75
1996,85.1
1997,90
1998,65.1
1999,62.5
2000,65.3
2001,81.7
2002,66.7
2003,116.8
2004,64.2
2005,100.8
2006,56.8
2007,60.1
2008,54.5
2009,130.2
2010,55.7
2011,63.2
2012,80.7
2013,72.5
2014,74.2
2015,84.4
2016,60
2017,85.9
2018,90.9
2019,80.6
