UF,ES
Cidade,VARGEM ALTA
Nome Posto,JACIGUA (DNOS)
Latitude,-20.701944444444443
Longitude,-41.01638888888889
Codigo,2041010
Qtd. Anos,73
Ano,Maxima
1947,90
1948,70.1
1949,70
1950,65.2
1951,95
1952,75.7
1953,75
1954,48
1955,80.3
1956,89
1957,163
1958,90
1959,76
1960,117
1961,60.2
1962,67.3
1963,58
1964,151
1965,73
1966,72
1967,81
1968,118
1969,156.2
1970,56.8
1971,162.2
1972,71
1973,54.4
1974,75.4
1975,80
1976,166
1977,125.4
1978,103.8
1979,83.6
1980,112.4
1981,60.8
1982,155
1983,68.8
1984,76
1985,78.8
1986,76.2
1987,94.8
1988,94.6
1989,67
1990,141
1991,81.4
1992,105
1993,83
1994,184
1995,99
1996,111.6
1997,130
1998,73
1999,59
2000,74
2001,57
2002,74.4
2003,105
2004,74.6
2005,96
2006,107
2007,83
2008,84
2009,102
2010,92.2
2011,55.9
2012,71.9
2013,130.7
2014,82.3
2015,59
2016,124.2
2017,66
2018,91.9
2019,65.2
