UF,ES
Cidade,ITAGUACU
Nome Posto,ITAIMBE
Latitude,-19.66361111111111
Longitude,-40.83527777777778
Codigo,1940012
Qtd. Anos,63
Ano,Maxima
1957,51.2
1958,200.2
1959,63.6
1960,124.2
1961,97.6
1962,133.4
1963,29.2
1964,77
1965,93.8
1966,74.4
1967,60
1968,95
1969,55.2
1970,50.6
1971,102
1972,115
1973,97
1974,75
1975,58.2
1976,83
1977,53.3
1978,43
1979,93.2
1980,94
1981,74
1982,73
1983,79.2
1984,149
1985,61.1
1986,72
1987,77.3
1988,88.2
1989,123
1990,77.2
1991,101.2
1992,105.1
1993,78
1994,74.1
1995,103.3
1996,60
1997,120
1998,71.3
1999,76.4
2000,119
2001,91.7
2002,76.6
2003,69.3
2004,119.9
2005,139.5
2006,60.3
2007,87.9
2008,120.4
2009,86.2
2010,118.3
2011,59.6
2012,76.5
2013,171
2014,81.2
2015,30.8
2016,70.7
2017,70.1
2018,88.7
2019,84.6
