UF,ES
Cidade,ALFREDO CHAVES
Nome Posto,MATILDE (DNOS)
Latitude,-20.55666666666667
Longitude,-40.811388888888885
Codigo,2040011
Qtd. Anos,71
Ano,Maxima
1949,56.4
1950,84.6
1951,88
1952,99.6
1953,77.4
1954,65.8
1955,95.2
1956,98
1957,175
1958,78
1959,79.2
1960,134.6
1961,69.2
1962,102.6
1963,94.2
1964,135.8
1965,87.4
1966,127
1967,66.6
1968,108
1969,77.8
1970,79.8
1971,128
1972,86.8
1973,105.8
1974,83
1975,90.4
1976,98.6
1977,73.8
1978,57.6
1979,75.6
1980,84.6
1981,129
1982,80.1
1983,80.9
1984,68.4
1985,60.8
1986,58.2
1987,97.4
1988,55.4
1989,46.2
1990,67.8
1991,75.6
1992,77.4
1993,75.2
1994,129.8
1995,127
1996,70.2
1997,77.2
1998,65.2
1999,62.4
2000,66.8
2001,135.2
2002,105.4
2003,126
2004,90
2005,87.5
2006,88.4
2007,141
2008,78.3
2009,86.2
2010,130.8
2011,97.4
2012,195.4
2013,107.4
2014,74.5
2015,81.2
2016,81.3
2017,80.5
2018,123.5
2019,85.4
