UF,ES
Cidade,NOVA VENECIA
Nome Posto,CORREGO DA BOA ESPERANCA
Latitude,-18.700555555555553
Longitude,-40.44194444444444
Codigo,1840019
Qtd. Anos,44
Ano,Maxima
1976,67.6
1977,75
1978,80.3
1979,77.8
1980,57.2
1981,124
1982,137.8
1983,93.4
1984,77.2
1985,122.2
1986,104.2
1987,85.8
1988,95.6
1989,52.9
1990,80.5
1991,87.7
1992,102.5
1993,46.8
1994,36.8
1995,76.3
1996,49.3
1997,67.3
1998,55.6
1999,89.8
2000,90.7
2001,98.8
2002,78.8
2003,114.8
2004,98.9
2005,89.8
2006,88.4
2007,88.4
2008,106.4
2009,84.2
2010,64.4
2011,63.4
2012,59.3
2013,68.4
2014,68.3
2015,83.4
2016,125.2
2017,52.1
2018,85
2019,44.3
