UF,ES
Cidade,MONTANHA
Nome Posto,FAZENDA LIMOEIRO
Latitude,-18.145555555555553
Longitude,-40.14388888888889
Codigo,1840012
Qtd. Anos,50
Ano,Maxima
1970,70.4
1971,40.4
1972,45
1973,103.8
1974,114
1975,88
1976,70.2
1977,134
1978,88
1979,98.4
1980,84
1981,67.7
1982,101.4
1983,90.4
1984,46
1985,140.4
1986,133.8
1987,68.2
1988,39
1989,58.2
1990,94.2
1991,123
1992,85.4
1993,68.2
1994,120
1995,70
1996,50
1997,58.8
1998,116.9
1999,73.4
2000,136.7
2001,136.6
2002,99
2003,79.8
2004,64.5
2005,118.4
2006,117.6
2007,48.3
2008,135.5
2009,117.8
2010,74.6
2011,72.1
2012,54.7
2013,60
2014,86.5
2015,151
2016,183.1
2017,20.5
2018,123.4
2019,85.3
