UF,ES
Cidade,SANTA TERESA
Nome Posto,VALSUGANA VELHA - MONTANTE
Latitude,-19.953333333333333
Longitude,-40.552499999999995
Codigo,1940010
Qtd. Anos,64
Ano,Maxima
1956,54.6
1957,83.8
1958,78.4
1959,134.2
1960,158.8
1961,85.4
1962,71.2
1963,75
1964,94.4
1965,126.6
1966,61.8
1967,135
1968,87.8
1969,102
1970,70.2
1971,103.6
1972,123.8
1973,50.4
1974,84
1975,114.8
1976,87.4
1977,102
1978,77
1979,109.6
1980,75
1981,157.2
1982,84.2
1983,141.2
1984,128.2
1985,88.8
1986,101.8
1987,152
1988,85.2
1989,62.6
1990,58.4
1991,89.8
1992,87.6
1993,60
1994,105.4
1995,78.4
1996,75.6
1997,132.6
1998,73.2
1999,70.2
2000,147.7
2001,91.2
2002,52.5
2003,79.8
2004,78.6
2005,114.1
2006,88.2
2007,297.4
2008,87.8
2009,148.8
2010,106.1
2011,65.2
2012,132.5
2013,182.1
2014,117.7
2015,69.7
2016,85.6
2017,87.2
2018,113.5
2019,188.2
