UF,ES
Cidade,IUNA
Nome Posto,SANTA CRUZ - CAPARAO
Latitude,-20.322777777777777
Longitude,-41.70416666666667
Codigo,2041017
Qtd. Anos,64
Ano,Maxima
1956,96
1957,62.6
1958,92.6
1959,60.8
1960,55.8
1961,98.4
1962,143.3
1963,49.6
1964,98.6
1965,59.2
1966,106.2
1967,121.2
1968,107.2
1969,62.4
1970,71.2
1971,113
1972,71.4
1973,60
1974,121
1975,88
1976,83.2
1977,66
1978,82.8
1979,85
1980,107.4
1981,158
1982,86.4
1983,80.2
1984,83.8
1985,120.4
1986,51.8
1987,60.6
1988,63
1989,83
1990,46.2
1991,97.2
1992,136
1993,81.6
1994,110
1995,93.2
1996,93.2
1997,101.6
1998,73.2
1999,80.5
2000,70.4
2001,74.8
2002,64.9
2003,81.8
2004,82.4
2005,66
2006,86
2007,79
2008,80.7
2009,119.4
2010,104.6
2011,87.8
2012,70.6
2013,81.5
2014,120.4
2015,78
2016,94.2
2017,94.4
2018,87
2019,55.4
