UF,ES
Cidade,SAO MATEUS
Nome Posto,BARRA NOVA
Latitude,-18.950277777777778
Longitude,-39.76444444444444
Codigo,1839006
Qtd. Anos,49
Ano,Maxima
1971,70
1972,50
1973,122.8
1974,91.8
1975,85.8
1976,143.6
1977,93.8
1978,105.7
1979,128
1980,132
1981,180.6
1982,90.2
1983,112.4
1984,420
1985,95
1986,82
1987,29
1988,82.6
1989,152.2
1990,75.8
1991,120
1992,80.5
1993,70
1994,101.5
1995,15.4
1996,38.4
1997,71
1998,41.3
1999,9.9
2000,106.5
2001,100
2002,72.1
2003,104.2
2004,109.3
2005,62.1
2006,95.2
2007,99.1
2008,117
2009,116.8
2010,112.9
2011,64.7
2012,53.2
2013,125
2014,156.5
2015,61.1
2016,68.7
2017,58
2018,81.2
2019,121.7
