UF,ES
Cidade,SANTA LEOPOLDINA
Nome Posto,SANTA LEOPOLDINA
Latitude,-20.10027777777778
Longitude,-40.52777777777778
Codigo,2040010
Qtd. Anos,71
Ano,Maxima
1949,66.4
1950,63.3
1951,94.8
1952,138.8
1953,99.1
1954,61.1
1955,93.2
1956,88.8
1957,97.2
1958,71.2
1959,145.6
1960,209
1961,96.8
1962,62.8
1963,92.2
1964,83
1965,86.6
1966,55.8
1967,86
1968,145.2
1969,106.6
1970,122.6
1971,65.6
1972,103
1973,75.4
1974,87
1975,83.4
1976,60.4
1977,84.8
1978,106.2
1979,98.2
1980,70.2
1981,110.2
1982,92.6
1983,112.8
1984,99
1985,70.2
1986,76.4
1987,74.6
1988,48.6
1989,26.8
1990,42.4
1991,64.8
1992,86
1993,24.8
1994,34.6
1995,28.8
1996,84
1997,98.6
1998,78
1999,84.4
2000,98.4
2001,86.4
2002,42.4
2003,63.4
2004,108.4
2005,176.8
2006,74.4
2007,84.6
2008,94.8
2009,143.6
2010,104.4
2011,133.6
2012,156.7
2013,155.1
2014,66.5
2015,69.2
2016,76.1
2017,124.5
2018,139.5
2019,147.9
