UF,ES
Cidade,SAO GABRIEL DA PALHA
Nome Posto,BARRA DE SAO GABRIEL
Latitude,-19.05777777777778
Longitude,-40.51638888888889
Codigo,1940016
Qtd. Anos,52
Ano,Maxima
1968,76.6
1969,79.4
1970,124
1971,57.4
1972,55.6
1973,84
1974,64.2
1975,67.2
1976,85.4
1977,90
1978,63.6
1979,127
1980,122.4
1981,82
1982,126.8
1983,94.6
1984,64
1985,185.6
1986,43.8
1987,43
1988,82
1989,39.6
1990,147.2
1991,78.6
1992,108.6
1993,72.4
1994,70
1995,170.6
1996,73
1997,75.6
1998,112
1999,98
2000,100.3
2001,96.7
2002,72.4
2003,92.5
2004,111.4
2005,78.7
2006,60
2007,129.8
2008,71.3
2009,120
2010,154.2
2011,127.5
2012,73.1
2013,84.5
2014,59.1
2015,67.2
2016,137.2
2017,46.5
2018,128.8
2019,65.5
