UF,ES
Cidade,ITARANA
Nome Posto,ITARANA
Latitude,-19.874444444444446
Longitude,-40.87444444444444
Codigo,1940000
Qtd. Anos,73
Ano,Maxima
1947,71
1948,86.4
1949,91.8
1950,73
1951,91.2
1952,77
1953,109.4
1954,42.1
1955,66.2
1956,83.9
1957,82.1
1958,85.6
1959,90.6
1960,62.4
1961,117.4
1962,81.6
1963,50.2
1964,78.6
1965,75.4
1966,58.2
1967,62.2
1968,36.4
1969,52.4
1970,66.8
1971,82.2
1972,77.2
1973,70.8
1974,62.4
1975,77.2
1976,84.2
1977,76.2
1978,61.6
1979,91.2
1980,117.4
1981,135.4
1982,79.6
1983,79.4
1984,56.6
1985,67.4
1986,69.8
1987,136.6
1988,61.8
1989,82.8
1990,57.4
1991,60.6
1992,68.9
1993,116.5
1994,58.2
1995,102.2
1996,71
1997,94
1998,38.8
1999,69.8
2000,150.1
2001,95.2
2002,62.8
2003,50.1
2004,99.3
2005,99.5
2006,117.2
2007,48.1
2008,71.9
2009,90.6
2010,165
2011,100.6
2012,98.3
2013,148
2014,56.3
2015,22.7
2016,55.7
2017,65.1
2018,60.3
2019,52.3
