UF,ES
Cidade,CACHOEIRO DO  ITAPEMIRIM
Nome Posto,CACHOEIRO DO ITAPEMIRIM
Latitude,-20.85
Longitude,-41.1
Codigo,2041045
Qtd. Anos,60
Ano,Maxima
1928,48.4
1929,63.8
1930,64.2
1931,64.6
1932,64.2
1933,53.2
1934,59.8
1935,57.6
1936,66.8
1937,65.6
1938,46.6
1939,42.1
1940,67.6
1941,61.1
1942,81.9
1943,75.9
1944,62.6
1945,62.6
1946,65.9
1947,65.6
1948,64.2
1949,51.6
1950,27.2
1951,25.4
1952,41.2
1953,42.6
1954,45.9
1955,26.4
1956,31.3
1957,33.7
1958,21.2
1959,34.6
1960,57.5
1961,49.2
1962,62.6
1963,60.4
1964,81.2
1965,57.2
1966,38.3
1967,72.8
1968,71
1969,44.5
1970,47.9
1972,89.6
1973,75.2
1974,49.6
1975,50.2
1976,69.3
1977,66.4
1978,101
1979,80
1980,74.9
1981,27.2
1982,70.5
1983,68.6
1986,47.4
1987,94.9
1988,42.5
1989,65.8
1990,50.6
